vertical,slug,contentType,intent,template,persona,title,primaryKeyword,notes
mobility-aids,adapting-your-home-for-arthritis,spoke,informational,spoke,priya,"Practical home adaptations if you have arthritis","home adaptations arthritis","Practical tips: lever taps, grab rails, raised toilet seats, jar openers, long-handled tools. Signpost OT referral."
mobility-aids,driving-with-a-disability-uk,spoke,informational,spoke,priya,"Driving with a disability in the UK: what help is available","driving with disability uk","DVLA medical requirements, MIDAS driving assessments, Motability scheme, vehicle adaptations, and knowing when to consider stopping."
mobility-aids,respite-care-options-uk,spoke,informational,spoke,priya,"Respite care options for carers and the people they support","respite care uk","What respite care is, how to access it through a carer's assessment, Crossroads Care and other providers, short breaks."
mobility-aids,fall-prevention-at-home-uk,spoke,informational,spoke,priya,"How to prevent falls at home: a practical room-by-room guide","fall prevention elderly home","Environment checks, lighting, rugs, footwear, exercises for balance and strength. Signpost NHS falls service referral."
mobility-aids,care-equipment-through-nhs,spoke,informational,how-to,priya,"How to get care equipment through the NHS","nhs care equipment elderly","OT referral pathway, what community equipment services provide free, what you purchase privately, returning equipment."
mobility-aids,what-is-a-carer-uk,spoke,informational,spoke,priya,"What is an unpaid carer and what support is available?","unpaid carer uk support","Defines unpaid caring, how many people provide care without realising it, and practical support routes: carer's assessment, respite, benefits."
tech-guides,how-to-use-whatsapp-beginners,spoke,informational,how-to,editorial,"How to use WhatsApp: a step-by-step guide for beginners","how to use whatsapp","How-to. Setting up, sending messages, making calls, sending photos, group chats. Reassuring and unhurried tone throughout."
tech-guides,setting-up-android-tablet-beginners,spoke,informational,how-to,editorial,"How to set up an Android tablet if you are new to technology","android tablet setup for beginners","How-to. Google account, accessibility settings (text size, brightness), connecting to Wi-Fi, finding and installing apps."
tech-guides,how-to-video-call-android,spoke,informational,how-to,editorial,"How to make a video call on an Android phone or tablet","how to video call android","How-to. Google Meet, WhatsApp video, Zoom. Step-by-step. What to do if the camera is in the wrong place."
tech-guides,internet-safety-guide-beginners,spoke,informational,spoke,editorial,"Staying safe online: a practical guide","internet safety beginners uk","Practical safety habits: strong passwords, spotting suspicious emails, safe Wi-Fi use, keeping devices updated. Signpost Action Fraud."
tech-guides,how-to-set-up-alexa,spoke,informational,how-to,editorial,"How to set up an Amazon Echo (Alexa) in your home","how to set up alexa","How-to. Unboxing, connecting to Wi-Fi, useful daily commands: reminders, timers, phone calls, audiobooks, radio."
tech-guides,smart-tv-guide-for-beginners,spoke,informational,how-to,editorial,"How to get the most out of a smart TV","smart tv guide for seniors","How-to. Connecting to Wi-Fi, BBC iPlayer, Netflix, YouTube. Accessibility settings: subtitles, audio description, text size."
tech-guides,using-nhs-app-guide,spoke,informational,how-to,editorial,"How to use the NHS App to manage your health","nhs app how to use","How-to. Setting up, booking GP appointments, ordering repeat prescriptions, viewing test results."
tech-guides,how-to-shop-online-safely,spoke,informational,spoke,editorial,"How to shop online safely: a practical guide","online shopping safely uk","Choosing trusted retailers, secure checkout, tracking deliveries, returning items, spotting fake websites."
tech-guides,password-safety-guide,spoke,informational,spoke,editorial,"How to create and manage strong passwords","password safety guide","Why passwords matter, what makes one strong, how a password manager works, two-factor authentication explained simply."
tech-guides,how-to-back-up-your-phone-photos,spoke,informational,how-to,editorial,"How to back up photos and contacts on your phone","how to back up phone photos","How-to. iCloud automatic backup, Google Photos, backing up to a computer. What happens if you lose your phone."
tech-guides,staying-in-touch-with-family-technology,spoke,informational,spoke,editorial,"Ways to stay in touch with family using technology","staying in touch with family technology","Warm practical guide to video calls, group messaging, photo sharing apps, voice calls. Choosing what suits you."
tech-guides,how-to-spot-phishing-emails,spoke,informational,spoke,editorial,"How to spot and deal with phishing and scam emails","phishing emails uk","Warning signs of a scam email, what to do if you clicked a link, how to report to Action Fraud."
tech-guides,using-google-maps-on-phone,spoke,informational,how-to,editorial,"How to use Google Maps on your smartphone","google maps for beginners","How-to. Getting directions, satellite view, saving favourite places, offline maps for areas with poor signal."
tech-guides,smart-doorbell-home-security,spoke,informational,spoke,editorial,"Smart doorbells and home security cameras: what you need to know","smart doorbell uk guide","How they work, what to look for when buying, data and privacy considerations, installation basics."
tech-guides,accessibility-features-smartphone,spoke,informational,spoke,editorial,"Accessibility features on smartphones that make them easier to use","smartphone accessibility features","Larger text, display zoom, voice control, magnifier, hearing aid compatibility. Both iPhone and Android covered."
tech-guides,streaming-services-explained,spoke,informational,spoke,editorial,"Streaming services explained: BBC iPlayer, Netflix, and beyond","streaming services uk guide","What each service is, what it costs (or what is free), how to sign up, what types of programmes are available."
tech-guides,how-to-use-zoom-beginners,spoke,informational,how-to,editorial,"How to use Zoom: a step-by-step guide for beginners","how to use zoom uk","How-to. Downloading the app, joining a meeting from a link, using video and microphone, muting yourself."
tech-guides,keeping-devices-secure,spoke,informational,spoke,editorial,"How to keep your phone, tablet and computer secure","tablet computer security tips","Software updates, what antivirus does, recognising suspicious links, safe browsing habits, what to do if something goes wrong."
tech-guides,email-for-beginners-uk,spoke,informational,how-to,editorial,"Setting up and using email: a guide for complete beginners","email for beginners uk","How-to. Creating a Gmail or Outlook account, sending and receiving messages, attachments, organising your inbox."
tech-guides,online-video-calls-for-health,spoke,informational,spoke,editorial,"Using video calls for GP and hospital appointments","online gp video appointment uk","What to expect from an NHS video consultation, how to prepare your device, when to request an in-person appointment instead."
benefits,free-nhs-prescriptions-over-60,spoke,informational,spoke,margaret,"Free NHS prescriptions: who qualifies and how to get them","free nhs prescriptions over 60","Age exemption at 60, medical exemption certificates, pre-payment certificates for those not yet exempt. No financial advice."
benefits,free-bus-pass-england,spoke,informational,how-to,margaret,"How to get your free bus pass in England","free bus pass england","How-to. State pension age eligibility, applying through your local council, what the English National Concessionary Travel Scheme covers."
benefits,nhs-dental-charges-exemptions,spoke,informational,spoke,margaret,"NHS dental charges and who is exempt from paying","nhs dental charges exemptions","Charge bands explained, exemption groups (Pension Credit, under 18, pregnant), HC2 certificate for low income."
benefits,cold-weather-payment-explained,spoke,informational,spoke,margaret,"Cold Weather Payments: who gets them and when","cold weather payment uk","Trigger conditions (7 consecutive days below 0C), payment amount, which benefits qualify you. Practical not advisory."
benefits,warm-home-discount-explained,spoke,informational,spoke,margaret,"The Warm Home Discount: how it works and who qualifies in 2026","warm home discount 2026","Core group (automatic) and broader group eligibility, how the discount is applied to your bill, what to do if you think you qualify."
benefits,free-tv-licence-over-75,spoke,informational,spoke,margaret,"The over-75 TV licence: what changed and what you need to do","over 75 tv licence","The 2020 change to means-testing, who still qualifies automatically via Pension Credit, how to apply."
benefits,housing-benefit-pensioners,spoke,informational,spoke,margaret,"Housing Benefit for pensioners: how it works in 2026","housing benefit pensioners","Pension Credit Housing Cost element, who is still on old Housing Benefit, private tenants vs council tenants, how to apply."
benefits,help-with-health-costs-nhs,spoke,informational,spoke,margaret,"Help with NHS health costs: glasses, dentist, hospital travel","help with nhs health costs","HC1/HC2 scheme explained, sight tests, wigs and fabric supports, hospital travel reimbursement. What income qualifies."
benefits,how-to-appeal-benefits-decision,spoke,informational,how-to,margaret,"How to appeal a benefits decision in the UK","appeal benefits decision uk","How-to. Mandatory reconsideration first, then tribunal appeal, gathering evidence, Citizens Advice support, timescales."
benefits,carers-credit-state-pension,spoke,informational,spoke,margaret,"Carer's Credit: how caring can protect your State Pension record","carers credit state pension","What Carer's Credit is, eligibility (35 hours or more of caring), how to claim, how it fills NI record gaps."
benefits,state-pension-forecast-how-to-check,spoke,informational,how-to,margaret,"How to check your State Pension forecast on gov.uk","state pension forecast check","How-to. Using the Check Your State Pension tool, what the forecast shows, what voluntary NI contributions involve."
benefits,what-is-pension-credit-simply-explained,spoke,informational,spoke,margaret,"Pension Credit explained simply: what it is and who it is for","pension credit explained simply","Plain-English explainer for someone who has heard of Pension Credit but is unsure if it applies to them."
benefits,help-for-carers-uk,spoke,informational,spoke,margaret,"Support available for unpaid carers in the UK","support for carers uk","Carer's Assessment, Carer's Allowance, respite, local carer networks. Practical overview, not a financial product comparison."
funeral-planning,what-to-do-when-someone-dies-uk,spoke,informational,how-to,david,"What to do in the first days after someone dies in the UK","what to do when someone dies uk","How-to. Getting a medical certificate, registering the death, obtaining death certificates, notifying key organisations. Compassionate practical tone."
funeral-planning,how-to-register-a-death-uk,spoke,informational,how-to,david,"How to register a death in England and Wales","how to register a death uk","How-to. Who can register, the 5-day rule, what to bring, what documents you receive and how many copies to get."
funeral-planning,how-to-apply-for-probate-uk,spoke,informational,how-to,david,"How to apply for probate in England and Wales","how to apply for probate uk","How-to. When probate is needed vs when it is not, applying online via HMCTS, fees, typical timescales."
funeral-planning,how-to-choose-a-funeral-director,spoke,informational,spoke,david,"How to choose a funeral director: what to look for","choosing a funeral director uk","Questions to ask, NAFD and SAIF membership, what a standardised price list should include, the right to shop around."
funeral-planning,natural-burial-uk-guide,spoke,informational,spoke,david,"Natural and woodland burial in the UK: a practical guide","natural burial uk","What natural burial involves, finding sites via the Natural Death Centre, eco-friendly coffins, what families can and cannot do."
funeral-planning,writing-a-eulogy-guide,spoke,informational,how-to,david,"How to write and deliver a eulogy","how to write a eulogy","How-to. Structure, length, what to include, gathering memories from family, tips for delivering it on the day."
funeral-planning,funeral-expenses-payment-dwp,spoke,informational,spoke,david,"DWP Funeral Expenses Payment: who can claim and how to apply","funeral expenses payment","Eligibility (linked to specific benefits), what it covers, how to apply within 6 months, what to do if refused."
funeral-planning,telling-organisations-after-death,spoke,informational,how-to,david,"Who to notify when someone dies: a complete checklist","who to notify when someone dies uk","How-to. HMRC, DWP, banks, pension providers, DVLA, utilities. Tell Us Once service explained."
funeral-planning,keeping-funeral-costs-down,spoke,informational,spoke,david,"Ways to keep funeral costs manageable without losing dignity","how to reduce funeral costs uk","Direct cremation, simple coffins, local crematoria off-peak, contributions from family and friends, comparing prices."
funeral-planning,burial-or-cremation-uk,spoke,informational,spoke,david,"Burial or cremation: what are the differences?","burial or cremation uk","Practical, emotional and environmental factors. Typical costs. Religious and cultural considerations. Balanced and respectful."
funeral-planning,supporting-someone-who-is-grieving,spoke,informational,spoke,david,"How to support someone who is grieving","how to support grieving person uk","Practical guidance: what to say, what not to say, practical help, checking in over time. Signpost Cruse Bereavement Support."
wills-poa,what-happens-if-you-die-without-a-will,spoke,informational,spoke,david,"What happens if you die without a will in the UK?","dying without a will uk","Intestacy rules explained simply, who inherits (and who does not), impact on unmarried partners. Signpost free will services."
wills-poa,how-to-choose-an-executor,spoke,informational,spoke,david,"How to choose an executor for your will","how to choose an executor","Role of an executor, who can act, professional vs a trusted person, what the job actually involves day to day."
wills-poa,inheritance-tax-basics-uk,spoke,informational,spoke,david,"Inheritance tax in the UK: the basics explained","inheritance tax basics uk","The threshold, rates, nil-rate band, residence nil-rate band. Factual overview. Not tax advice -- signpost HMRC and a solicitor."
wills-poa,how-to-store-a-will-safely,spoke,informational,spoke,david,"Where to keep your will so it can be found when needed","where to store a will uk","Solicitor storage, National Will Register, at home, what NOT to do. Practical and memorable."
wills-poa,when-to-update-your-will,spoke,informational,spoke,david,"When should you update your will?","when to update your will","Life events that mean a review is needed: marriage, divorce, new grandchildren, moving house, significant assets changing."
wills-poa,health-and-welfare-lpa-explained,spoke,informational,spoke,margaret,"Health and Welfare LPA: what it covers and why it matters","health and welfare lpa","What decisions it covers, who can be named as attorney, the activation rule (loss of capacity), limits of the document."
wills-poa,advance-decision-living-will-uk,spoke,informational,spoke,david,"Advance decisions and living wills: making your wishes known","advance decision living will uk","What an advance decision is, what it can and cannot cover, how to make one legally valid in England and Wales."
wills-poa,probate-how-long-does-it-take,spoke,informational,spoke,david,"How long does probate take in England and Wales?","how long does probate take","Typical timescales for simple and complex estates, what causes delays, what executors can do while waiting."
wills-poa,getting-affairs-in-order-checklist,spoke,informational,spoke,david,"Getting your affairs in order: a practical checklist","getting affairs in order uk","Practical guide: where to store key documents, who knows what, contacts list, utilities, insurance. Not financial advice."
wills-poa,digital-legacy-planning,spoke,informational,spoke,david,"What happens to your online accounts and digital life when you die?","digital legacy planning uk","Social media memorialisation, email accounts, subscription services, passwords. Practical steps to take now."
equity-release,what-is-equity-release-explained-simply,spoke,informational,spoke,david,"What is equity release? A plain-English explanation","what is equity release","Clear explainer for someone who has just heard the term. What it is, what it is not, who it is designed for. No product recommendation."
equity-release,equity-release-council-standards,spoke,informational,spoke,david,"What is the Equity Release Council and why does it matter?","equity release council","What the Council is, what standards its members must meet, the no-negative-equity guarantee, independent legal advice requirement."
equity-release,questions-to-ask-equity-release-adviser,spoke,informational,spoke,david,"Questions to ask before meeting an equity release adviser","questions to ask equity release adviser","Preparation guide: what credentials to check, what to bring, what to ask about costs and alternatives. Empowers the reader."
equity-release,equity-release-and-care-home-fees,spoke,informational,spoke,david,"Does equity release affect eligibility for care home funding?","equity release care home fees","Capital rules for local authority funding, when assets are assessed, deferred payment agreements as an alternative to consider."
equity-release,understanding-equity-release-statement,spoke,informational,spoke,david,"How to read your equity release annual statement","equity release annual statement","What the statement shows, how to check the outstanding balance, compound interest illustrated, who to contact with queries."
equity-release,alternatives-to-equity-release,spoke,informational,spoke,david,"Alternatives to equity release you might not have considered","alternatives to equity release","Downsizing, renting a room, Disabled Facilities Grant, benefits entitlement check, borrowing from family. Balanced, no product advocacy."
equity-release,equity-release-family-conversations,spoke,informational,spoke,david,"How to talk to your family about equity release","equity release family discussion","Why transparency matters, what family members often worry about, involving adult children in the conversation."
equity-release,how-equity-release-regulation-changed,spoke,informational,spoke,david,"How the regulation of equity release has changed over the years","equity release regulation history","Pre-FCA era, Equity Release Council formation, FCA authorisation requirement, what protections now exist. Educational overview."
equity-release,equity-release-complaints-process,spoke,informational,how-to,david,"How to make a complaint about an equity release product or adviser","equity release complaint","How-to. Internal complaint first, then Financial Ombudsman Service referral, timescales, what to expect."
equity-release,inheritance-and-equity-release,spoke,informational,spoke,david,"Equity release and your estate: what family members should know","equity release and inheritance","How the loan is repaid on death or entry into care, protected equity features, inheritance guarantees, what families should ask."
equity-release,equity-release-what-happens-on-death,spoke,informational,spoke,david,"What happens to an equity release plan when the homeowner dies?","equity release on death","Repayment timeline (typically 12 months), how family are notified, what happens to the property, joint plans."
equity-release,moving-house-with-equity-release,spoke,informational,spoke,david,"Can you move house if you have an equity release plan?","moving house with equity release","Portability of lifetime mortgages, criteria the new property must meet, what to do if it does not qualify, early repayment charges."
